Sentence	Sentence Vector
This is a bankruptcy proceeding	tensor([-0.0257, -0.1283,  0.2258, -0.0034, -0.0033])
This is a black operation	tensor([-0.3658, -0.4008,  0.5182, -0.7109,  0.1023])
This is a field work	tensor([ 0.0489, -0.1049,  0.1159, -0.4350, -0.0993])
This is a marketing consultant	tensor([ 0.0590,  0.1328,  0.0646, -0.2103, -0.6525])
This is a box office	tensor([-0.1030, -0.0917,  0.0157, -0.2373,  0.3160])
This is a noise complaint	tensor([-0.0275,  0.2314,  0.0916, -0.1016, -0.4495])
This is a pipe dream	tensor([ 0.2447,  0.1829,  0.4380, -0.1240,  0.0494])
This is a honey trap	tensor([ 0.2276,  0.2267, -0.2046,  0.1063,  0.2499])
This is an acid test	tensor([-0.2551, -0.3193, -0.1088, -0.2772,  0.2696])
This is a case study	tensor([-0.1288, -0.3017, -0.0579, -0.3716, -0.1649])
This is a chain reaction	tensor([-0.0744,  0.0180,  0.1178, -0.4092, -0.1992])
This is an ancient history	tensor([ 0.2221,  0.1982, -0.0970, -0.3202, -0.1037])
This is a china clay	tensor([-0.3834, -0.0062, -0.1904, -0.4155,  0.2091])
This is a divine service	tensor([ 0.5991,  0.2356,  0.3820, -0.5481, -0.2612])
This is an economic aid	tensor([-0.1812, -0.1517,  0.3687,  0.1861, -0.0790])
This is a lip service	tensor([ 0.2921, -0.6045,  0.3000, -0.0235,  0.1169])
This is a mail service	tensor([ 0.0274, -0.1275,  0.3803,  0.4499, -0.1355])
This is a computer expert	tensor([-0.1261,  0.1349,  0.0924, -0.1542,  0.0363])
This is a cable car	tensor([ 0.0643, -0.4104,  0.1272,  0.4179,  0.4653])
This is a panda car	tensor([ 0.0245, -0.2817,  0.2489,  0.3094,  0.1518])
This is a credit card	tensor([ 0.1869, -0.1704,  0.1796,  0.3821,  0.5210])
This is a basket case	tensor([-0.1312, -0.3083,  0.3650, -0.5122, -0.1188])
This is a life belt	tensor([ 0.3555, -0.2589,  0.2975, -0.1170,  0.2504])
This is a rock bottom	tensor([ 0.0917, -0.2777, -0.3168,  0.0801,  0.3489])
This is a swimming pool	tensor([-0.1464, -0.2531, -0.1819, -0.0013,  0.5755])
This is a public service	tensor([ 0.0156, -0.2523,  0.3557, -0.3739, -0.2891])
This is a sitting duck	tensor([-0.1697,  0.0308,  0.0428, -0.0905,  0.0389])
This is a balance sheet	tensor([-0.0039, -0.3746,  0.1947,  0.1887,  0.1619])
This is a cheat sheet	tensor([-0.3197, -0.5640,  0.0694,  0.0518,  0.3054])
This is a black cherry	tensor([ 0.2309,  0.1074, -0.3187,  0.0995,  0.1807])
This is a guinea pig	tensor([ 0.1079,  0.0654, -0.5318, -0.0691,  0.1335])
This is a human being	tensor([ 0.1994,  0.3209,  0.0886, -0.1951, -0.2951])
This is a milk tooth	tensor([-0.0592,  0.2048,  0.0481, -0.1260,  0.1086])
This is a cutting edge	tensor([-0.0165, -0.3563,  0.2438, -0.0671, -0.3032])
This is a fine line	tensor([ 0.1827, -0.6801,  0.4159, -0.2086, -0.2607])
This is a firing line	tensor([ 0.0625, -0.1484,  0.1666,  0.0603, -0.2438])
This is a speed limit	tensor([-0.2653, -0.4175,  0.7655,  0.0521,  0.0690])
This is a sacred cow	tensor([ 0.3278,  0.0967, -0.4709, -0.2885, -0.0361])
This is a fall guy	tensor([-0.4319, -0.3801,  0.1477, -0.1546, -0.2150])
This is a street girl	tensor([ 0.0227, -0.5482,  0.0377, -0.1647, -0.1803])
This is a Dutch courage	tensor([-0.0377, -0.0515, -0.2138, -0.4766,  0.0391])
This is an eternal rest	tensor([ 0.2661, -0.0180,  0.4532, -0.3290, -0.3158])
This is a half sister	tensor([-0.1717, -0.4864,  0.1468, -0.1829, -0.1968])
This is a labour union	tensor([ 0.2539, -0.2962,  0.1467, -0.1901, -0.4876])
This is a cash cow	tensor([ 0.1247, -0.2820, -0.1136, -0.0775,  0.0967])
This is a busy bee	tensor([ 0.1140,  0.0258,  0.1537,  0.0108, -0.2511])
This is a spelling bee	tensor([-0.1386, -0.1080, -0.1188, -0.2051,  0.0193])
This is a law firm	tensor([ 0.1549, -0.2793,  0.1939, -0.2151, -0.3080])
This is a call centre	tensor([-0.2287, -0.4652,  0.2197,  0.0035,  0.3930])
This is a white noise	tensor([-0.0059, -0.0420,  0.2584, -0.2017, -0.2352])
This is a benign tumour	tensor([-0.1821,  0.1499,  0.1764, -0.7248,  0.1041])
This is a job fair	tensor([ 0.2997, -0.2023, -0.0127, -0.2682,  0.0285])
This is a baby buggy	tensor([-0.0779, -0.1656,  0.3375,  0.0555,  0.0350])
This is a pillow slip	tensor([-0.1207, -0.3260,  0.1393,  0.0081,  0.1440])
This is a dirty money	tensor([ 0.3015, -0.0895,  0.0082, -0.0988, -0.1641])
This is a day shift	tensor([-0.0760, -0.3494,  0.0532, -0.4719,  0.0354])
This is a graveyard shift	tensor([ 0.0435, -0.4626,  0.0404, -0.2234, -0.2799])
This is a head hunter	tensor([-0.0818,  0.0827,  0.0076, -0.1871, -0.2607])
This is a traffic control	tensor([-0.1076, -0.1431,  0.3031,  0.2088, -0.1132])
This is a backroom boy	tensor([ 0.0402, -0.2244, -0.1498, -0.0260,  0.3339])
This is an old timer	tensor([-0.0306, -0.2917,  0.1723, -0.2274, -0.1045])
This is a brass ring	tensor([ 0.1500, -0.0056,  0.2199,  0.1466,  0.0416])
This is a ghost town	tensor([ 0.1369, -0.2226,  0.1127,  0.0747,  0.1152])
This is a close call	tensor([-0.1461, -0.3361,  0.5206, -0.2268, -0.3335])
This is a wet blanket	tensor([ 0.1843, -0.2495,  0.1912,  0.1472, -0.1185])
This is a smoking jacket	tensor([ 0.4171, -0.1001,  0.0221, -0.2095,  0.0435])
This is a wedding anniversary	tensor([-0.1234, -0.2033,  0.5946, -0.2347, -0.0846])
This is a banana republic	tensor([-0.1320, -0.1701, -0.1442,  0.0829,  0.0370])
This is a hen party	tensor([-0.1195, -0.4611,  0.0959, -0.3344, -0.2653])
This is a news agency	tensor([ 0.1944, -0.2637,  0.1052,  0.2191, -0.3736])
This is a rat race	tensor([ 0.1734, -0.2610, -0.0765, -0.1512,  0.1430])
This is a radioactive material	tensor([ 0.3038,  0.3867, -0.3003, -0.1723, -0.2639])
This is a love song	tensor([ 0.2246, -0.1320,  0.6759,  0.1142,  0.1817])
This is a dead end	tensor([ 0.3023, -0.0889,  0.3255, -0.0564,  0.0805])
This is a world conference	tensor([-0.2092, -0.6482,  0.3852, -0.3780, -0.2259])
This is an insurance policy	tensor([ 0.5867, -0.3701,  0.4799, -0.1762, -0.0301])
This is a cooking stove	tensor([ 0.2322,  0.0864, -0.0397,  0.1283,  0.3442])
This is a cocktail dress	tensor([ 0.3199, -0.5408,  0.0508, -0.0852,  0.1733])
This is a disability insurance	tensor([ 0.0752, -0.4531,  0.3892,  0.0847, -0.2350])
This is a social insurance	tensor([ 0.1749, -0.4862,  0.4077,  0.1665, -0.0849])
This is a con artist	tensor([ 0.1334, -0.0040, -0.0504, -0.2946, -0.2394])
This is a heavy cross	tensor([ 0.0368,  0.0204,  0.2249, -0.4462, -0.3920])
This is a brain drain	tensor([-0.0179,  0.1799,  0.0255,  0.0029, -0.2196])
This is an end user	tensor([-0.3170, -0.1403,  0.0689, -0.0036, -0.2354])
This is a silver spoon	tensor([-0.1049, -0.2265,  0.2098,  0.1170, -0.0235])
This is a dust storm	tensor([ 0.2380, -0.0434,  0.1308,  0.0049, -0.3995])
This is a sugar daddy	tensor([-0.1753, -0.2691,  0.1604, -0.0659,  0.0442])
This is a stag night	tensor([ 0.0390, -0.3851,  0.0766, -0.3679, -0.0583])
This is an information age	tensor([-0.1659, -0.0171,  0.1708, -0.0788,  0.0575])
This is a wedding day	tensor([-0.0899, -0.1170,  0.7336, -0.3401, -0.0319])
This is a ground floor	tensor([-0.1052, -0.2295,  0.1435, -0.1511,  0.4868])
This is a prison guard	tensor([ 0.0850, -0.0330, -0.0350, -0.0473, -0.3896])
This is a baby blues	tensor([-0.0195, -0.2829,  0.1795, -0.0717,  0.1002])
This is a peace talk	tensor([-0.1215, -0.2558,  0.2858, -0.4520, -0.0321])
This is a beauty sleep	tensor([ 0.2138, -0.2315,  0.2834,  0.1967,  0.2526])
This is a fresh water	tensor([ 0.2220, -0.0754, -0.0702,  0.1289,  0.2409])
This is a sparkling water	tensor([0.2383, 0.1348, 0.0695, 0.1935, 0.1239])
This is a hard shoulder	tensor([ 0.0784, -0.1073, -0.0889, -0.2567, -0.4859])
This is a brain teaser	tensor([ 0.2028, -0.3029,  0.1343, -0.0118, -0.0699])
This is a role model	tensor([-0.0929, -0.3386, -0.0565, -0.1058, -0.2431])
This is a sex bomb	tensor([ 0.5544, -0.0220, -0.0342, -0.1044, -0.3078])
This is a fairy tale	tensor([ 0.1508, -0.2426,  0.2026, -0.0689,  0.2292])
This is a silver lining	tensor([ 0.3467, -0.1619,  0.3183,  0.0165,  0.0046])
This is a bad hat	tensor([ 0.1005,  0.0781,  0.1285,  0.0190, -0.2456])
This is an old hat	tensor([ 0.3789, -0.0788,  0.3772, -0.1226,  0.1265])
This is a music festival	tensor([-0.3783, -0.5376, -0.0179, -0.0932, -0.0653])
This is an old flame	tensor([ 0.1789, -0.2053,  0.1687, -0.2023,  0.0099])
This is a damp squib	tensor([-0.1429, -0.2666,  0.1629,  0.1831,  0.1223])
This is a loan shark	tensor([-0.0772, -0.3094, -0.0085, -0.1784, -0.0353])
This is a narrow escape	tensor([-0.4423, -0.3243,  0.2881, -0.1664, -0.2868])
This is a noble gas	tensor([ 0.0382, -0.1109,  0.2084, -0.3302, -0.2692])
This is a nest egg	tensor([-0.2029,  0.2039, -0.4050, -0.2550,  0.5358])
This is a spinning jenny	tensor([ 0.1072, -0.1249,  0.2868, -0.0585, -0.1572])
This is a fair play	tensor([ 0.4261, -0.4557,  0.1578, -0.4148,  0.0622])
This is a polo shirt	tensor([ 0.3698, -0.1871,  0.2074, -0.2908,  0.0507])
This is a contact lens	tensor([ 0.2024,  0.1107,  0.3167, -0.2077,  0.0570])
This is a big cheese	tensor([-0.0413, -0.1295,  0.1568, -0.2867, -0.0453])
This is a dry land	tensor([ 0.1961, -0.1255, -0.0630,  0.0175,  0.2811])
This is a best man	tensor([-0.3525,  0.1197,  0.4861,  0.0270,  0.2265])
This is an entrance hall	tensor([-0.4569,  0.0179, -0.3277, -0.0505,  0.2183])
This is a white spirit	tensor([ 0.4116,  0.0240, -0.0327, -0.2243, -0.3212])
This is a blue blood	tensor([ 0.3827, -0.0576, -0.1314, -0.1893, -0.0869])
This is a double whammy	tensor([ 0.0444, -0.0144, -0.0242, -0.2413, -0.2302])
This is a night owl	tensor([ 0.0115,  0.0464, -0.0600, -0.2221,  0.1708])
This is a half wit	tensor([-0.1686, -0.4658,  0.2147, -0.1839, -0.2842])
This is a big picture	tensor([ 0.1884, -0.3694,  0.3230, -0.1954,  0.0346])
This is a flower child	tensor([0.0132, 0.0362, 0.3809, 0.1408, 0.0734])
This is a sound judgement	tensor([ 0.1331, -0.0247, -0.0303, -0.2702, -0.3026])
This is a nut case	tensor([-0.2188, -0.0029,  0.2757, -0.1438,  0.0489])
This is an insurance company	tensor([ 0.3914, -0.2514,  0.1308,  0.0342, -0.3089])
This is a head teacher	tensor([-0.5229, -0.0107, -0.0883, -0.2813, -0.4075])
This is a jet lag	tensor([-0.1775, -0.4635,  0.5787,  0.1266,  0.0331])
This is a zebra crossing	tensor([ 0.1666, -0.3314, -0.0519, -0.1327,  0.0193])
This is an incubation period	tensor([-0.1053, -0.0023, -0.4440, -0.3479,  0.4468])
This is a guilt trip	tensor([-0.0532, -0.0740, -0.1150,  0.0444, -0.2234])
This is an armchair critic	tensor([-0.0727,  0.0772,  0.2145, -0.2947, -0.7099])
This is a small fry	tensor([-0.2995, -0.0949, -0.1581, -0.0562, -0.1543])
This is a copy cat	tensor([-0.0775, -0.1556,  0.2453, -0.0733,  0.1941])
This is a rocket science	tensor([ 0.2692,  0.0772,  0.1168, -0.0561, -0.0016])
This is a parking lot	tensor([ 0.2500, -0.2525,  0.1257,  0.0920,  0.5202])
This is a blind alley	tensor([ 0.1850, -0.1053, -0.1034,  0.0186, -0.1220])
This is a Freudian slip	tensor([-0.1343, -0.0202, -0.2500, -0.0591, -0.5523])
This is an elbow grease	tensor([-0.1487,  0.0360, -0.0710, -0.4698, -0.1324])
This is a bow tie	tensor([ 0.1366, -0.3575,  0.2210, -0.0913,  0.0846])
This is a shrinking violet	tensor([ 0.0252, -0.2466,  0.1788, -0.0152,  0.2309])
This is a fashion plate	tensor([ 0.3353, -0.4350,  0.0753, -0.0847,  0.1930])
This is a high life	tensor([ 0.5359, -0.2894,  0.2838, -0.2249,  0.0211])
This is a mother tongue	tensor([ 0.2082,  0.2209, -0.0996, -0.4778, -0.1939])
This is a snake oil	tensor([ 0.2448,  0.0611, -0.3727, -0.0907,  0.0275])
This is a mailing list	tensor([ 0.0455, -0.2605,  0.3404,  0.3777, -0.2463])
This is a shelf life	tensor([-0.0408, -0.2952,  0.5068,  0.2103,  0.1791])
This is a poison pill	tensor([ 0.2902, -0.0056, -0.2958, -0.1546,  0.1535])
This is a loose woman	tensor([ 0.1301, -0.5106,  0.3353,  0.0649, -0.0290])
This is a travel guide	tensor([-0.2348, -0.3789,  0.4961,  0.1415,  0.0166])
This is a dark horse	tensor([ 0.0693, -0.2435,  0.0597, -0.0105, -0.0225])
This is a cocoa butter	tensor([-0.2982,  0.0045,  0.0733, -0.2884, -0.0175])
This is a blue print	tensor([-0.2356, -0.1947,  0.3226, -0.0840, -0.1574])
This is a double cross	tensor([ 0.1024, -0.2206,  0.4599, -0.5056, -0.2775])
This is a diamond wedding	tensor([ 0.2475, -0.3841,  0.3752, -0.0732,  0.2492])
This is a grey matter	tensor([ 0.4969,  0.0767,  0.3237, -0.2665,  0.1497])
This is a rice paper	tensor([-0.1879, -0.0916, -0.1002, -0.0030,  0.1744])
This is a peace conference	tensor([-0.1597, -0.5916,  0.2670, -0.3160, -0.1699])
This is a swan song	tensor([ 0.4346, -0.1265,  0.3101,  0.0120, -0.0555])
This is a foot soldier	tensor([ 0.1902,  0.0269,  0.0497, -0.1993, -0.3981])
This is an inner product	tensor([-0.0375, -0.2233,  0.6756, -0.6789, -0.2235])
This is a search engine	tensor([-0.5083, -0.5081,  0.0212,  0.0817,  0.1145])
This is an iron collar	tensor([ 0.1885, -0.1894,  0.1603, -0.2145, -0.0194])
This is a double Dutch	tensor([-0.1412, -0.1128,  0.0683, -0.5665, -0.0366])
This is a cloud nine	tensor([ 0.1059, -0.0832,  0.3008, -0.0013,  0.1990])
This is a private eye	tensor([ 0.1202, -0.2887,  0.1717, -0.1491,  0.0040])
This is a disc jockey	tensor([-0.3936, -0.2709,  0.3224,  0.1351, -0.2564])
This is a pecking order	tensor([-0.4022, -0.2883, -0.2294, -0.1113,  0.2360])
This is a grass root	tensor([ 0.0071, -0.1319,  0.1151,  0.1835, -0.0469])
This is a goose egg	tensor([ 0.1535,  0.0380,  0.0020, -0.0843,  0.2722])
This is a black box	tensor([ 0.0021, -0.0438,  0.3922,  0.0213,  0.0837])
This is a melting pot	tensor([ 0.2372, -0.0389,  0.3431, -0.0138,  0.0573])
This is a think tank	tensor([-0.0156, -0.1607, -0.0904,  0.1034,  0.2011])
This is a brick wall	tensor([ 0.1659, -0.1489, -0.0720, -0.3340,  0.2188])
This is a dry wall	tensor([ 0.1483, -0.1736,  0.1784,  0.0624,  0.1369])
This is an application form	tensor([-0.0927, -0.2412,  0.2269, -0.3552, -0.0901])
This is a winter solstice	tensor([-0.0462, -0.4556,  0.9248,  0.0505,  0.1657])
This is a bad apple	tensor([-0.1731,  0.3335, -0.1393, -0.1121, -0.2195])
This is a birth rate	tensor([-0.0965, -0.1836,  0.2049, -0.0073,  0.0522])
This is a crime rate	tensor([-0.2141, -0.3244,  0.2175,  0.0403, -0.1097])
This is an interest rate	tensor([-0.0840, -0.2361,  0.3648, -0.0913,  0.1273])
This is a football season	tensor([-0.3970, -0.5026,  0.0036, -0.2320, -0.0939])
This is an injury time	tensor([-0.3331, -0.3425,  0.2158, -0.4626, -0.3409])
This is a rainy season	tensor([-0.5546, -0.4797, -0.1218, -0.0881, -0.1521])
This is a dirty word	tensor([ 0.1446,  0.0806, -0.2448, -0.2050, -0.4557])
This is a word painting	tensor([ 0.0810, -0.1192,  0.0653, -0.2093, -0.3486])
This is a car park	tensor([-0.0055, -0.4903,  0.4066, -0.1367,  0.5780])
This is an elbow room	tensor([-0.1434, -0.0302, -0.0988, -0.2227,  0.1440])
This is an engine room	tensor([-0.0647, -0.3696, -0.3210, -0.0533,  0.6761])
This is a lotus position	tensor([-0.5589,  0.2301,  0.2045, -0.3684, -0.0771])
This is a web site	tensor([-0.1074, -0.4099,  0.1664,  0.0432, -0.0991])
This is a lime tree	tensor([ 0.2117,  0.2636, -0.1870,  0.2786,  0.3372])
This is an arcade game	tensor([-0.7247, -0.4186, -0.0651, -0.2516, -0.0555])
This is a blame game	tensor([ 0.3356, -0.1572, -0.0045, -0.0936, -0.3144])
This is a video game	tensor([-0.4753, -0.6176,  0.3020, -0.0158,  0.1190])
This is a health insurance	tensor([ 0.2266, -0.2698,  0.3326,  0.0797, -0.0590])
This is a radio station	tensor([-0.0508, -0.2166,  0.2383,  0.0519, -0.2885])
This is a snail mail	tensor([ 0.1195,  0.1436,  0.0677, -0.1934, -0.0497])
This is a big wig	tensor([-0.0337, -0.1373,  0.2801, -0.2290, -0.1551])
This is a face value	tensor([-0.1385, -0.3410,  0.5066, -0.4248, -0.0090])
This is an academy award	tensor([-0.6304, -0.3176,  0.5101, -0.5458,  0.0610])
This is a medical procedure	tensor([ 0.4361,  0.0372, -0.1701, -0.3366,  0.0987])
This is a net income	tensor([-0.1130, -0.2435,  0.3960,  0.1926, -0.1220])
This is a silver bullet	tensor([ 0.3339,  0.0301,  0.1887,  0.0098, -0.0989])
This is a silver screen	tensor([0.2880, 0.0712, 0.6000, 0.2436, 0.2792])
This is a smoke screen	tensor([0.4275, 0.0609, 0.0367, 0.0103, 0.1434])
This is a health care	tensor([ 0.1737, -0.1203,  0.3600, -0.0014,  0.0116])
This is a top dog	tensor([-0.0298,  0.0252,  0.1719,  0.0412,  0.1840])
This is a home run	tensor([-0.5418, -0.6107,  0.2938, -0.5632, -0.0934])
This is a gravy train	tensor([-0.1594, -0.3120,  0.1038,  0.1524,  0.3164])
This is a dream ticket	tensor([ 0.1596, -0.3906,  0.4629,  0.0564,  0.2242])
This is a bank account	tensor([ 0.0085, -0.2981,  0.0788,  0.0432,  0.1444])
This is an insane asylum	tensor([ 0.1881,  0.0362, -0.0920,  0.0308,  0.2274])
This is a critical review	tensor([-0.4374, -0.4510, -0.1385, -0.0547, -0.3869])
This is a gold mine	tensor([ 0.3712, -0.2293, -0.2153, -0.2692,  0.6654])
This is a bull market	tensor([ 0.1490, -0.4625, -0.1650,  0.0741,  0.2519])
This is a flea market	tensor([ 9.2900e-02, -7.0546e-01,  4.7585e-04,  3.8826e-01,  4.5824e-01])
This is a food market	tensor([ 0.0842, -0.5795, -0.1239,  0.0732,  0.3237])
This is a smoking gun	tensor([ 0.5260,  0.0784,  0.0321, -0.0191, -0.0416])
This is a memory lane	tensor([-0.2231, -0.2446,  0.0830,  0.0228,  0.2196])
This is an eager beaver	tensor([ 0.1412, -0.0752,  0.1890,  0.0592, -0.1506])
This is a glass ceiling	tensor([0.1721, 0.4912, 0.0162, 0.0188, 0.4664])
This is an inner circle	tensor([ 0.0498, -0.3608,  0.5856, -0.6511, -0.5527])
This is a crash course	tensor([ 0.1025, -0.3850,  0.2196, -0.0022,  0.2138])
This is a radioactive waste	tensor([ 0.5533,  0.4929, -0.3700,  0.1248,  0.0123])
This is a graduate student	tensor([-0.4709, -0.0511,  0.0739, -0.1024, -0.1718])
This is a middle school	tensor([-0.3716, -0.6175, -0.1694,  0.0887,  0.0754])
This is a number crunching	tensor([-0.3558, -0.4482,  0.1769, -0.3042, -0.0393])
This is a calendar month	tensor([-0.2077, -0.0407,  0.3514, -0.2721, -0.3644])
This is an insider trading	tensor([ 0.1834, -0.5233, -0.2824, -0.1603,  0.3086])
This is a carpet bombing	tensor([ 0.3511, -0.2165,  0.0484, -0.1722,  0.1087])
This is a tennis elbow	tensor([-0.3802, -0.1361,  0.1439, -0.5253, -0.1439])
This is a blood bath	tensor([ 0.3151,  0.0391, -0.0816, -0.0727,  0.2235])
This is a low profile	tensor([-0.3271, -0.3457,  0.2578, -0.0505, -0.2618])
This is a pain killer	tensor([-0.0069, -0.1289, -0.2013, -0.0714, -0.0265])
This is a speed trap	tensor([ 0.0468, -0.5562,  0.3287,  0.0566,  0.2726])
This is a computer program	tensor([-0.3236, -0.1533,  0.0519, -0.2210,  0.0951])
This is a market place	tensor([ 0.1330, -0.4310,  0.0964, -0.0343,  0.0703])
This is a front runner	tensor([-0.4636, -0.2281,  0.2303, -0.2150, -0.3229])
This is a game plan	tensor([ 0.0436, -0.6038,  0.1388, -0.2852,  0.1893])
This is an ivory tower	tensor([-0.1528, -0.0812,  0.0686, -0.3072,  0.7853])
This is a subway system	tensor([-0.1193, -0.7815, -0.1123,  0.4356, -0.0513])
This is a cotton candy	tensor([ 0.0529, -0.0201,  0.1533,  0.1259,  0.2689])
This is an eye candy	tensor([0.2192, 0.0838, 0.0962, 0.0414, 0.2816])
This is a climate change	tensor([-0.0197, -0.0642, -0.0380, -0.1913, -0.2059])
This is a traffic jam	tensor([-0.1397, -0.4131,  0.1770,  0.1311, -0.2310])
This is a fish story	tensor([ 0.0776, -0.3164, -0.0117, -0.0753,  0.2599])
This is a research project	tensor([-0.1220, -0.2977,  0.0034, -0.1784,  0.0942])
This is a crocodile tear	tensor([ 0.2638,  0.1086, -0.2805, -0.0815, -0.0253])
This is a cellular phone	tensor([0.1853, 0.0592, 0.2225, 0.1006, 0.3559])
This is a health check	tensor([-0.0066, -0.3909, -0.0762,  0.0402,  0.2720])
This is a rat run	tensor([ 0.1649, -0.5283, -0.0292, -0.2312,  0.1858])
This is a prison term	tensor([ 0.0773, -0.3536,  0.1409, -0.2819, -0.2378])
This is a rush hour	tensor([-0.2660, -0.4720,  0.0300, -0.1402, -0.1620])
This is a biological clock	tensor([ 0.2523,  0.1630, -0.2119, -0.0909,  0.1650])
This is a grandfather clock	tensor([0.2347, 0.3929, 0.3137, 0.1169, 0.5391])
This is a skin tone	tensor([ 0.2023, -0.1963, -0.1067, -0.2943,  0.0028])
This is a monkey business	tensor([ 0.3158,  0.1104, -0.0139, -0.3344, -0.1715])
This is a kangaroo court	tensor([-0.0310, -0.1816, -0.0230, -0.0365, -0.2205])
This is a big fish	tensor([ 0.1864, -0.1619, -0.1825, -0.0221,  0.1959])
This is a leap year	tensor([-0.0021, -0.0905,  0.4409, -0.1844, -0.1536])
This is an agony aunt	tensor([ 0.0178, -0.0153,  0.1062, -0.0405, -0.1608])
This is a mental disorder	tensor([-0.2293,  0.2601, -0.1286, -0.3171, -0.3998])
This is a tear gas	tensor([ 0.1388,  0.0105, -0.2216, -0.1466, -0.1392])
This is a time difference	tensor([-0.1425,  0.0628,  0.6818, -0.3134,  0.0333])
This is a closed book	tensor([-0.1026, -0.1053,  0.1277, -0.2715,  0.1636])
This is a hard drive	tensor([-0.4304, -0.2425,  0.4443,  0.2641,  0.3114])
This is a phone book	tensor([ 0.1995, -0.1879,  0.2191, -0.0590,  0.2858])
This is a pocket book	tensor([-0.0040, -0.1702,  0.3153, -0.0736,  0.2788])
This is a record book	tensor([-0.0291, -0.2566,  0.1022, -0.1043,  0.1457])
This is a life vest	tensor([ 0.3941, -0.2448,  0.1848, -0.1724,  0.2520])
This is a civil marriage	tensor([ 0.0464, -0.6512,  0.4929, -0.2721,  0.3645])
This is a front man	tensor([-0.0675, -0.0746,  0.3149, -0.1258, -0.1785])
This is a research lab	tensor([-0.1369, -0.3006, -0.1383, -0.2429,  0.3470])
This is a music journalist	tensor([-0.1854,  0.2442, -0.1066,  0.3449, -0.3574])
This is a couch potato	tensor([-0.1781, -0.0365,  0.1027, -0.1461,  0.2376])
This is a hot potato	tensor([-0.2878, -0.0998,  0.0907, -0.1723, -0.0620])
